Ensembl Gene ID	Associated Gene Name	Gene Biotype
ENSMUSG00000046697	Enpp7	protein_coding
ENSMUSG00000073510	Gm7647	protein_coding
ENSMUSG00000095353	Gm21783	protein_coding
ENSMUSG00000071089	Trim75	protein_coding
ENSMUSG00000018433	Nol11	protein_coding
ENSMUSG00000094043	Gm3176	protein_coding
ENSMUSG00000094666	Gm21856	protein_coding
ENSMUSG00000094182	Olfr937	protein_coding
ENSMUSG00000098017	Gm5342	pseudogene
ENSMUSG00000057667	Bloc1s3	protein_coding
ENSMUSG00000094181	Gm21739	protein_coding
ENSMUSG00000083966	Gm13482	pseudogene
ENSMUSG00000082544	Gm11667	pseudogene
ENSMUSG00000086410	Gm16158	lincRNA
ENSMUSG00000095194	Olfr936	protein_coding
ENSMUSG00000095954	Gm3183	protein_coding
ENSMUSG00000020743	Mif4gd	protein_coding
ENSMUSG00000026705	Klhl20	protein_coding
ENSMUSG00000000058	Cav2	protein_coding
ENSMUSG00000096332	Gm21241	protein_coding
ENSMUSG00000021750	Fam107a	protein_coding
ENSMUSG00000084916	Gm11656	sense_intronic
ENSMUSG00000041620	Mmp1b	protein_coding
ENSMUSG00000024340	Btnl2	protein_coding
ENSMUSG00000087444	Gm5475	protein_coding
ENSMUSG00000011263	Exoc3l2	protein_coding
ENSMUSG00000026668	Ucma	protein_coding
ENSMUSG00000070427	Il18bp	protein_coding
ENSMUSG00000094368	Gm21805	protein_coding
ENSMUSG00000084978	Gm11655	antisense
ENSMUSG00000049641	Vgll2	protein_coding
ENSMUSG00000022528	Hes1	protein_coding
ENSMUSG00000092073	Gm6205	protein_coding
ENSMUSG00000058820	Olfr146	protein_coding
ENSMUSG00000027782	Kpna4	protein_coding
ENSMUSG00000086078	Gm11657	antisense
ENSMUSG00000079262	Slco1a6	protein_coding
ENSMUSG00000096267	Gm21774	protein_coding
ENSMUSG00000032409	Atr	protein_coding
ENSMUSG00000082278	Gm13471	pseudogene
ENSMUSG00000075286	Gm1968	protein_coding
ENSMUSG00000081412	Gm15403	pseudogene
ENSMUSG00000094071	Gm21729	protein_coding
ENSMUSG00000002010	Idh3g	protein_coding
ENSMUSG00000094195	Gm6509	protein_coding
ENSMUSG00000036698	Ago2	protein_coding
ENSMUSG00000031948	Kars	protein_coding
ENSMUSG00000059595	Olfr935	protein_coding
ENSMUSG00000076608	Igkj5	IG_J_gene
ENSMUSG00000062224	4933411G06Rik	protein_coding
ENSMUSG00000096120	Gm21800	protein_coding
ENSMUSG00000074071	Fam169b	lincRNA
ENSMUSG00000095503	Gm3147	protein_coding
ENSMUSG00000025521	Tmem192	protein_coding
ENSMUSG00000094100	Gm20827	protein_coding
ENSMUSG00000034689	4921530L21Rik	protein_coding
ENSMUSG00000057424	Olfr934	protein_coding
ENSMUSG00000030397	Mark4	protein_coding
ENSMUSG00000095452	Gm20795	protein_coding
ENSMUSG00000055421	Pcdh9	protein_coding
ENSMUSG00000033813	Tcea1	protein_coding
ENSMUSG00000081030	Gm12704	pseudogene
ENSMUSG00000086353	Gm13481	lincRNA
ENSMUSG00000096885	Gm21797	protein_coding
ENSMUSG00000086628	Gm16157	lincRNA
ENSMUSG00000029823	Luc7l2	protein_coding
ENSMUSG00000095074	Gm3139	protein_coding
ENSMUSG00000095784	Gm20793	protein_coding
ENSMUSG00000058515	Olfr933	protein_coding
ENSMUSG00000052767	Gm12703	processed_transcript
ENSMUSG00000024675	Ms4a4c	protein_coding
ENSMUSG00000097981	Gm7583	pseudogene
ENSMUSG00000087184	Gm11650	processed_transcript
ENSMUSG00000080825	Gm14892	pseudogene
ENSMUSG00000086251	Gm12694	antisense
ENSMUSG00000096533	Gm21852	protein_coding
ENSMUSG00000093405	Gm20684	processed_transcript
ENSMUSG00000040705	A930016O22Rik	protein_coding
ENSMUSG00000068480	Gm7551	pseudogene
ENSMUSG00000083756	Gm13468	pseudogene
ENSMUSG00000083179	Gm12693	pseudogene
ENSMUSG00000095433	Gm21914	protein_coding
ENSMUSG00000074011	Gm7682	protein_coding
ENSMUSG00000027361	Gabpb1	protein_coding
ENSMUSG00000076607	Igkj4	IG_J_gene
ENSMUSG00000095725	Gm21801	protein_coding
ENSMUSG00000026664	Phyh	protein_coding
ENSMUSG00000021725	Parp8	protein_coding
ENSMUSG00000094354	Gm21882	protein_coding
ENSMUSG00000068391	Chrac1	protein_coding
ENSMUSG00000039765	Cc2d2a	protein_coding
ENSMUSG00000063221	Olfr930	protein_coding
ENSMUSG00000028017	Egf	protein_coding
ENSMUSG00000086662	BC046251	processed_transcript
ENSMUSG00000031605	Klhl2	protein_coding
ENSMUSG00000076606	Igkj3	IG_J_gene
ENSMUSG00000079363	Gbp4	protein_coding
ENSMUSG00000073497	AA792892	protein_coding
ENSMUSG00000093895	Gm21865	protein_coding
ENSMUSG00000030399	Ckm	protein_coding
ENSMUSG00000096173	Gm3150	protein_coding
ENSMUSG00000086232	Gm7546	antisense
ENSMUSG00000086644	Gm13470	lincRNA
ENSMUSG00000092187	Gm20457	processed_transcript
ENSMUSG00000042628	Zfyve1	protein_coding
ENSMUSG00000095718	Gm6502	protein_coding
ENSMUSG00000064333	Olfr926	protein_coding
ENSMUSG00000096275	Gm20901	protein_coding
ENSMUSG00000021932	Rnaseh2b	protein_coding
ENSMUSG00000066306	Numa1	protein_coding
ENSMUSG00000083996	Gm11649	pseudogene
ENSMUSG00000093542	Gm20670	processed_transcript
ENSMUSG00000090121	Abhd12b	protein_coding
ENSMUSG00000096556	Gm21787	protein_coding
ENSMUSG00000059706	A830035A12Rik	processed_transcript
ENSMUSG00000087425	Gm15404	lincRNA
ENSMUSG00000031626	Sorbs2	protein_coding
ENSMUSG00000038467	Chmp4b	protein_coding
ENSMUSG00000095875	Gm21765	protein_coding
ENSMUSG00000098708	RP23-387F1.3	antisense
ENSMUSG00000047667	Olfr26	protein_coding
ENSMUSG00000094560	Gm16522	protein_coding
ENSMUSG00000085864	C330019F10Rik	lincRNA
ENSMUSG00000093751	Gm3307	pseudogene
ENSMUSG00000096379	Gm21732	protein_coding
ENSMUSG00000086442	Gm11722	sense_intronic
ENSMUSG00000081788	Gm5898	pseudogene
ENSMUSG00000041220	Elovl6	protein_coding
ENSMUSG00000087113	Gm11714	processed_transcript
ENSMUSG00000001175	Calm1	protein_coding
ENSMUSG00000081689	Gm9166	pseudogene
ENSMUSG00000048281	Dleu7	protein_coding
ENSMUSG00000045813	Gm9801	pseudogene
ENSMUSG00000096259	Gm3106	protein_coding
ENSMUSG00000062103	Olfr924	protein_coding
ENSMUSG00000085245	Gm11713	antisense
ENSMUSG00000096471	Gm21735	protein_coding
ENSMUSG00000074813	Gm14005	processed_transcript
ENSMUSG00000059585	Ube2nl	pseudogene
ENSMUSG00000087683	Gm11712	antisense
ENSMUSG00000082322	Gm9164	pseudogene
ENSMUSG00000053797	Krt16	protein_coding
ENSMUSG00000086298	Gm11716	antisense
ENSMUSG00000095715	Gm21924	protein_coding
ENSMUSG00000046168	Kcnrg	protein_coding
ENSMUSG00000081995	Gm11719	pseudogene
ENSMUSG00000083605	Gm14893	pseudogene
ENSMUSG00000090160	4930480K15Rik	processed_transcript
ENSMUSG00000068151	A230006K03Rik	lincRNA
ENSMUSG00000026708	Cenpl	protein_coding
ENSMUSG00000044798	Olfr923	protein_coding
ENSMUSG00000092549	Gm20491	pseudogene
ENSMUSG00000094575	Gm20738	protein_coding
ENSMUSG00000031949	Adat1	protein_coding
ENSMUSG00000082679	Gm13469	pseudogene
ENSMUSG00000021392	Nol8	protein_coding
ENSMUSG00000096655	1700065D16Rik	protein_coding
ENSMUSG00000085750	Gm14009	lincRNA
ENSMUSG00000086926	Gm6226	pseudogene
ENSMUSG00000093716	Gm19815	pseudogene
ENSMUSG00000094138	Gm20922	protein_coding
ENSMUSG00000035235	Trim13	protein_coding
ENSMUSG00000073367	Gm10493	pseudogene
ENSMUSG00000078087	Rps12l1	pseudogene
ENSMUSG00000002007	Srpk3	protein_coding
ENSMUSG00000043911	Olfr922	protein_coding
ENSMUSG00000094835	Gm21878	protein_coding
ENSMUSG00000019689	1110001J03Rik	protein_coding
ENSMUSG00000085927	Gm15888	processed_transcript
ENSMUSG00000071019	Sdr16c6	protein_coding
ENSMUSG00000095337	Gm21835	protein_coding
ENSMUSG00000053062	Jam2	protein_coding
ENSMUSG00000051319	1500011K16Rik	lincRNA
ENSMUSG00000040714	Klc3	protein_coding
ENSMUSG00000076605	Igkj2	IG_J_gene
ENSMUSG00000094434	Gm21799	protein_coding
ENSMUSG00000083807	Gm13466	pseudogene
ENSMUSG00000087178	A230056P14Rik	processed_transcript
ENSMUSG00000094333	Gm20898	protein_coding
ENSMUSG00000063314	Gm12657	pseudogene
ENSMUSG00000092526	Gm17907	pseudogene
ENSMUSG00000049926	Olfr921	protein_coding
ENSMUSG00000093845	Gm21898	protein_coding
ENSMUSG00000075702	Selm	protein_coding
ENSMUSG00000051537	Gm5124	pseudogene
ENSMUSG00000046756	Mrps7	protein_coding
ENSMUSG00000078525	Gm5776	pseudogene
ENSMUSG00000072821	Gm6351	protein_coding
ENSMUSG00000096650	Gm20896	protein_coding
ENSMUSG00000087586	Gm6938	lincRNA
ENSMUSG00000074092	Gm6181	pseudogene
ENSMUSG00000075703	Ept1	protein_coding
ENSMUSG00000096050	Gm20798	protein_coding
ENSMUSG00000029298	Gbp9	protein_coding
ENSMUSG00000078636	Gm7336	pseudogene
ENSMUSG00000021930	Spryd7	protein_coding
ENSMUSG00000087358	4930453H23Rik	lincRNA
ENSMUSG00000094653	Gm21872	protein_coding
ENSMUSG00000083019	Gm6222	pseudogene
ENSMUSG00000061039	Olfr920	protein_coding
ENSMUSG00000083892	Gm1848	pseudogene
ENSMUSG00000035829	Ppp1r26	protein_coding
ENSMUSG00000096315	Gm21795	protein_coding
ENSMUSG00000061535	C1qtnf7	protein_coding
ENSMUSG00000086830	Gm13467	lincRNA
ENSMUSG00000085265	1700081H22Rik	antisense
ENSMUSG00000029552	Tes	protein_coding
ENSMUSG00000094853	Gm20799	protein_coding
ENSMUSG00000098912	RP23-199B2.4	processed_transcript
ENSMUSG00000086710	Gm13465	lincRNA
ENSMUSG00000096253	Gm21896	protein_coding
ENSMUSG00000085995	Gm2788	processed_transcript
ENSMUSG00000062093	Gm10110	protein_coding
ENSMUSG00000095793	Gm20855	protein_coding
ENSMUSG00000085720	Gm7854	protein_coding
ENSMUSG00000058869	Gm4832	pseudogene
ENSMUSG00000083359	Gm12656	pseudogene
ENSMUSG00000096162	Gm20853	protein_coding
ENSMUSG00000049493	Pls1	protein_coding
ENSMUSG00000064307	Lrrc51	protein_coding
ENSMUSG00000067276	Capn6	protein_coding
ENSMUSG00000072822	BC061212	protein_coding
ENSMUSG00000096511	Gm21201	protein_coding
ENSMUSG00000026946	Nmi	protein_coding
ENSMUSG00000087162	Gm14244	antisense
ENSMUSG00000028236	Sdr16c5	protein_coding
ENSMUSG00000095293	Gm10058	protein_coding
ENSMUSG00000021222	Dcaf4	protein_coding
ENSMUSG00000097955	Gm26950	pseudogene
ENSMUSG00000095405	Gm21184	protein_coding
ENSMUSG00000089755	0610012D04Rik	antisense
ENSMUSG00000050505	Pcdh20	protein_coding
ENSMUSG00000078684	5830417I10Rik	pseudogene
ENSMUSG00000021390	Ogn	protein_coding
ENSMUSG00000084006	Gm14245	pseudogene
ENSMUSG00000094341	Gm21745	protein_coding
ENSMUSG00000096230	Gm16429	protein_coding
ENSMUSG00000068240	Gm11808	protein_coding
ENSMUSG00000085186	Gm14377	antisense
ENSMUSG00000083648	Gm14229	pseudogene
ENSMUSG00000091881	Gm17146	antisense
ENSMUSG00000096532	Gm21633	protein_coding
ENSMUSG00000029553	Tfec	protein_coding
ENSMUSG00000089701	Gm15978	antisense
ENSMUSG00000094064	Gm21626	protein_coding
ENSMUSG00000081414	Gm3943	pseudogene
ENSMUSG00000087298	Gm9392	pseudogene
ENSMUSG00000081894	Gm14212	pseudogene
ENSMUSG00000083213	Gm14875	pseudogene
ENSMUSG00000048368	Omd	protein_coding
ENSMUSG00000086202	1700019E08Rik	lincRNA
ENSMUSG00000098024	Gm27003	antisense
ENSMUSG00000095011	Gm20838	protein_coding
ENSMUSG00000086877	A230072C01Rik	processed_transcript
ENSMUSG00000087492	Gm15700	antisense
ENSMUSG00000087682	Gm14003	lincRNA
ENSMUSG00000083510	Gm13478	pseudogene
ENSMUSG00000080757	Gm15029	pseudogene
ENSMUSG00000084882	Gm16047	antisense
ENSMUSG00000095049	Gm21756	protein_coding
ENSMUSG00000082393	Gm15028	pseudogene
ENSMUSG00000085591	Gm13479	lincRNA
ENSMUSG00000083263	Gm14874	pseudogene
ENSMUSG00000084830	Gm14539	pseudogene
ENSMUSG00000081830	Gm13475	pseudogene
ENSMUSG00000095553	Gm21916	protein_coding
ENSMUSG00000081390	Gm14538	pseudogene
ENSMUSG00000067341	H2-Eb2	protein_coding
ENSMUSG00000094073	Gm21810	protein_coding
ENSMUSG00000080796	Gm9159	pseudogene
ENSMUSG00000028521	Slc35d1	protein_coding
ENSMUSG00000081529	Gm14884	pseudogene
ENSMUSG00000096711	Gm21599	protein_coding
ENSMUSG00000021559	Dapk1	protein_coding
ENSMUSG00000082855	Gm14537	pseudogene
ENSMUSG00000096272	Gm21588	protein_coding
ENSMUSG00000062611	Rps3a2	protein_coding
ENSMUSG00000078517	Emc1	protein_coding
ENSMUSG00000079263	Gm6614	protein_coding
ENSMUSG00000052248	Gm13476	antisense
ENSMUSG00000030842	Lamtor1	protein_coding
ENSMUSG00000095263	Gm21094	protein_coding
ENSMUSG00000084137	Gm9085	pseudogene
ENSMUSG00000021340	Gpld1	protein_coding
ENSMUSG00000034317	Trim59	protein_coding
ENSMUSG00000087415	Gm14529	pseudogene
ENSMUSG00000076604	Igkj1	IG_J_gene
ENSMUSG00000094529	Gm21744	protein_coding
ENSMUSG00000083033	Gm9083	pseudogene
ENSMUSG00000097156	Gm3764	lincRNA
ENSMUSG00000085214	0610005C13Rik	processed_transcript
ENSMUSG00000041390	Mdfic	protein_coding
ENSMUSG00000034438	Gbp8	protein_coding
ENSMUSG00000045545	Krt14	protein_coding
ENSMUSG00000095968	Gm21842	protein_coding
ENSMUSG00000034570	Inpp5j	protein_coding
ENSMUSG00000095345	Gm21821	protein_coding
ENSMUSG00000078630	Tomt	protein_coding
ENSMUSG00000025903	Lypla1	protein_coding
ENSMUSG00000096777	Gm21723	protein_coding
ENSMUSG00000094711	Gm21753	protein_coding
ENSMUSG00000085698	Gm16022	antisense
ENSMUSG00000097428	AW047730	processed_transcript
ENSMUSG00000091510	Mtag2	pseudogene
ENSMUSG00000095626	Gm21572	protein_coding
ENSMUSG00000017291	Taok1	protein_coding
ENSMUSG00000049661	Mtag2	processed_transcript
ENSMUSG00000097280	AI849053	lincRNA
ENSMUSG00000087128	Gm12655	processed_transcript
ENSMUSG00000094444	Gm21562	protein_coding
ENSMUSG00000060209	Gm6570	pseudogene
ENSMUSG00000085797	A530010F05Rik	antisense
ENSMUSG00000046721	Rpl14-ps1	pseudogene
ENSMUSG00000074506	Gm10705	pseudogene
ENSMUSG00000076497	Trbj2-7	IG_J_gene
ENSMUSG00000094392	Gm3788	pseudogene
ENSMUSG00000098018	Slc6a16	lincRNA
ENSMUSG00000094789	1700040F15Rik	protein_coding
ENSMUSG00000090818	Trbj2-6	IG_J_gene
ENSMUSG00000081508	Gm12654	pseudogene
ENSMUSG00000050108	Bpifc	protein_coding
ENSMUSG00000085931	Gm12648	lincRNA
ENSMUSG00000094623	Gm21737	protein_coding
ENSMUSG00000067642	Gpr113	protein_coding
ENSMUSG00000076496	Trbj2-5	IG_J_gene
ENSMUSG00000031950	Gabarapl2	protein_coding
ENSMUSG00000085527	Gm15535	processed_transcript
ENSMUSG00000051617	Krt9	protein_coding
ENSMUSG00000085287	4833418N02Rik	lincRNA
ENSMUSG00000081685	Gm12647	pseudogene
ENSMUSG00000087138	Gm15545	processed_transcript
ENSMUSG00000096698	Gm21780	protein_coding
ENSMUSG00000076495	Trbj2-4	IG_J_gene
ENSMUSG00000078550	Dear1	pseudogene
ENSMUSG00000098933	RP24-68F22.7	sense_intronic
ENSMUSG00000096542	Gm21908	protein_coding
ENSMUSG00000085625	Gm8813	pseudogene
ENSMUSG00000087560	Gm15396	processed_transcript
ENSMUSG00000094232	Gm21539	protein_coding
ENSMUSG00000086416	Gm14002	antisense
ENSMUSG00000076494	Trbj2-3	IG_J_gene
ENSMUSG00000095192	Gm21529	protein_coding
ENSMUSG00000022635	Zcrb1	protein_coding
ENSMUSG00000031951	Tmem231	protein_coding
ENSMUSG00000076493	Trbj2-2	IG_J_gene
ENSMUSG00000087056	Gm14004	processed_transcript
ENSMUSG00000087376	Gm15517	processed_transcript
ENSMUSG00000021929	Kpna3	protein_coding
ENSMUSG00000094869	Gm21679	protein_coding
ENSMUSG00000021388	Aspn	protein_coding
ENSMUSG00000032839	Trpc1	protein_coding
ENSMUSG00000087450	Gm13994	lincRNA
ENSMUSG00000057378	Ryr3	protein_coding
ENSMUSG00000050765	Gm5084	protein_coding
ENSMUSG00000076492	Trbj2-1	IG_J_gene
ENSMUSG00000031952	Chst5	protein_coding
ENSMUSG00000086954	4930583P06Rik	lincRNA
ENSMUSG00000096538	Gm21853	protein_coding
ENSMUSG00000094569	Trbd2	IG_D_gene
ENSMUSG00000052957	Gas1	protein_coding
ENSMUSG00000026709	Dars2	protein_coding
ENSMUSG00000085496	4930517E11Rik	lincRNA
ENSMUSG00000076489	Trbj1-7	IG_J_gene
ENSMUSG00000095830	Gm20810	protein_coding
ENSMUSG00000060161	Klk1b7-ps	pseudogene
ENSMUSG00000084372	Gm13988	pseudogene
ENSMUSG00000030649	Anapc15	protein_coding
ENSMUSG00000023951	Vegfa	protein_coding
ENSMUSG00000076488	Trbj1-6	IG_J_gene
ENSMUSG00000082050	Gm13989	pseudogene
ENSMUSG00000041609	Ccdc64	protein_coding
ENSMUSG00000096394	Gm21804	protein_coding
ENSMUSG00000031953	Tmem170	protein_coding
ENSMUSG00000021928	Ebpl	protein_coding
ENSMUSG00000096837	Gm12651	pseudogene
ENSMUSG00000070606	Gm10298	pseudogene
ENSMUSG00000076487	Trbj1-5	IG_J_gene
ENSMUSG00000092459	Gm2302	pseudogene
ENSMUSG00000085633	4930580A09Rik	antisense
ENSMUSG00000073797	Gm12650	pseudogene
ENSMUSG00000096752	Gm21642	protein_coding
ENSMUSG00000020911	Krt19	protein_coding
ENSMUSG00000083607	Gm12640	pseudogene
ENSMUSG00000043157	Arl11	protein_coding
ENSMUSG00000084833	Gm12649	lincRNA
ENSMUSG00000044609	Gm9294	pseudogene
ENSMUSG00000096165	Gm20893	protein_coding
ENSMUSG00000076486	Trbj1-4	IG_J_gene
ENSMUSG00000072673	Gm10392	protein_coding
ENSMUSG00000080892	Gm9266	pseudogene
ENSMUSG00000031954	Cfdp1	protein_coding
ENSMUSG00000094633	Gm20891	protein_coding
ENSMUSG00000015243	Abca1	protein_coding
ENSMUSG00000076485	Trbj1-3	IG_J_gene
ENSMUSG00000046743	Fat4	protein_coding
ENSMUSG00000092191	Gm7211	pseudogene
ENSMUSG00000096101	Gm21506	protein_coding
ENSMUSG00000045038	Prkce	protein_coding
ENSMUSG00000092238	Gm6004	pseudogene
ENSMUSG00000076484	Trbj1-2	IG_J_gene
ENSMUSG00000040481	Bptf	protein_coding
ENSMUSG00000043631	Ecm2	protein_coding
ENSMUSG00000095158	Gm21476	protein_coding
ENSMUSG00000025231	Sufu	protein_coding
ENSMUSG00000092554	Gm18128	pseudogene
ENSMUSG00000076483	Trbj1-1	IG_J_gene
ENSMUSG00000034579	Pla2g3	protein_coding
ENSMUSG00000092262	Gm20434	pseudogene
ENSMUSG00000096509	Gm21771	protein_coding
ENSMUSG00000000686	Abhd15	protein_coding
ENSMUSG00000092505	Gm19246	pseudogene
ENSMUSG00000095668	Trbd1	IG_D_gene
ENSMUSG00000042258	Isl1	protein_coding
ENSMUSG00000096004	Gm20892	protein_coding
ENSMUSG00000092301	Gm6887	pseudogene
ENSMUSG00000098799	AC146604.1	IG_J_gene
ENSMUSG00000082325	Gm12642	pseudogene
ENSMUSG00000070621	Vmn2r-ps60	pseudogene
ENSMUSG00000094770	Trgj2	IG_J_gene
ENSMUSG00000096246	Gm20895	protein_coding
ENSMUSG00000093925	Trgj3	IG_J_gene
ENSMUSG00000092382	Vmn2r-ps59	pseudogene
ENSMUSG00000096312	Trgj1	IG_J_gene
ENSMUSG00000054146	Krt15	protein_coding
ENSMUSG00000095043	Gm21755	protein_coding
ENSMUSG00000031955	Bcar1	protein_coding
ENSMUSG00000092411	Gm5594	pseudogene
ENSMUSG00000097062	Gm17586	lincRNA
ENSMUSG00000086370	Ftx	lincRNA
ENSMUSG00000030400	Ercc2	protein_coding
ENSMUSG00000029299	Abcg3	protein_coding
ENSMUSG00000092370	Vmn2r-ps58	pseudogene
ENSMUSG00000097658	Gm16755	lincRNA
ENSMUSG00000095439	Gm21443	protein_coding
ENSMUSG00000092257	Gm2308	pseudogene
ENSMUSG00000097294	Gm26888	lincRNA
ENSMUSG00000059842	Zfp341	protein_coding
ENSMUSG00000094014	Gm21890	protein_coding
ENSMUSG00000097614	Gm26508	lincRNA
ENSMUSG00000048574	Gm5593	pseudogene
ENSMUSG00000097117	Gm26730	lincRNA
ENSMUSG00000026662	Sephs1	protein_coding
ENSMUSG00000094223	Gm21427	protein_coding
ENSMUSG00000042275	Pelo	protein_coding
ENSMUSG00000083623	Gm7224	pseudogene
ENSMUSG00000097800	B230344G16Rik	lincRNA
ENSMUSG00000096103	Gm21791	protein_coding
ENSMUSG00000092281	Hmgb1-ps7	pseudogene
ENSMUSG00000031957	Ctrb1	protein_coding
ENSMUSG00000097020	Gm26613	lincRNA
ENSMUSG00000094939	Gm21773	protein_coding
ENSMUSG00000092328	Vmn2r-ps57	pseudogene
ENSMUSG00000097410	Gm26668	lincRNA
ENSMUSG00000038538	Ubn2	protein_coding
ENSMUSG00000094690	1600014C23Rik	protein_coding
ENSMUSG00000092451	Vmn2r-ps56	pseudogene
ENSMUSG00000096657	Gm21412	protein_coding
ENSMUSG00000083849	Gm13477	pseudogene
ENSMUSG00000097289	2010300F17Rik	lincRNA
ENSMUSG00000072774	Zfp951	protein_coding
ENSMUSG00000092538	Vmn2r-ps55	pseudogene
ENSMUSG00000096116	Gm21350	protein_coding
ENSMUSG00000044328	Trp53i13	protein_coding
ENSMUSG00000097176	Gm26830	lincRNA
ENSMUSG00000085089	A430092G05Rik	antisense
ENSMUSG00000055835	Zfp1	protein_coding
ENSMUSG00000092193	Cd9-ps	pseudogene
ENSMUSG00000096983	2010015M23Rik	lincRNA
ENSMUSG00000094911	Gm21921	protein_coding
ENSMUSG00000091004	Gm6872	pseudogene
ENSMUSG00000048334	Gm8258	protein_coding
ENSMUSG00000081360	Gm11718	pseudogene
ENSMUSG00000080994	Gm13464	pseudogene
ENSMUSG00000097335	Gm26563	lincRNA
ENSMUSG00000093868	Gm20809	protein_coding
ENSMUSG00000097602	4930519P11Rik	protein_coding
ENSMUSG00000081085	Gm13463	pseudogene
ENSMUSG00000043467	Zbtb37	protein_coding
ENSMUSG00000079065	BC005561	protein_coding
ENSMUSG00000097165	2210008F06Rik	lincRNA
ENSMUSG00000031442	Mcf2l	protein_coding
ENSMUSG00000094479	Gm21845	protein_coding
ENSMUSG00000081999	Gm13461	pseudogene
ENSMUSG00000097147	Gm26780	lincRNA
ENSMUSG00000083260	Gm13460	pseudogene
ENSMUSG00000095271	Gm20840	protein_coding
ENSMUSG00000097051	Gm26836	lincRNA
ENSMUSG00000082930	Gm13462	pseudogene
ENSMUSG00000025228	Actr1a	protein_coding
ENSMUSG00000097747	Gm26534	lincRNA
ENSMUSG00000094617	Gm21768	protein_coding
ENSMUSG00000020069	Hnrnph3	protein_coding
ENSMUSG00000097913	Gm26837	lincRNA
ENSMUSG00000095733	Gm20926	protein_coding
ENSMUSG00000020448	Rnf185	protein_coding
ENSMUSG00000074164	Vmn2r-ps54	pseudogene
ENSMUSG00000097605	mmu-mir-3061	lincRNA
ENSMUSG00000039515	Ppp2r4	protein_coding
ENSMUSG00000094166	Gm20925	protein_coding
ENSMUSG00000097219	Gm26551	lincRNA
ENSMUSG00000097887	Gm26542	lincRNA
ENSMUSG00000096443	Gm21907	protein_coding
ENSMUSG00000091401	Gm9252	pseudogene
ENSMUSG00000097457	2310031A07Rik	lincRNA
ENSMUSG00000090341	Gm17217	pseudogene
ENSMUSG00000095237	Gm21661	protein_coding
ENSMUSG00000097173	Gm26829	lincRNA
ENSMUSG00000001827	Folr1	protein_coding
ENSMUSG00000097728	Gm26840	lincRNA
ENSMUSG00000095622	Gm21469	protein_coding
ENSMUSG00000083500	Gm15470	pseudogene
ENSMUSG00000031604	Sc4mol	protein_coding
ENSMUSG00000027870	Hao2	protein_coding
ENSMUSG00000097122	Gm26624	lincRNA
ENSMUSG00000091864	Gm17102	processed_transcript
ENSMUSG00000096545	Gm21871	protein_coding
ENSMUSG00000028741	Mrto4	protein_coding
ENSMUSG00000087017	4930417H01Rik	processed_transcript
ENSMUSG00000094611	Gm21065	protein_coding
ENSMUSG00000021221	Dpf3	protein_coding
ENSMUSG00000097168	C230088H06Rik	lincRNA
ENSMUSG00000082080	Gm9246	pseudogene
ENSMUSG00000082919	Gm12641	pseudogene
ENSMUSG00000061462	Obscn	protein_coding
ENSMUSG00000095546	Gm10230	protein_coding
ENSMUSG00000092031	Gm2108	pseudogene
ENSMUSG00000096979	Gm26880	lincRNA
ENSMUSG00000049062	Gm9244	pseudogene
ENSMUSG00000052752	Traf7	protein_coding
ENSMUSG00000070686	C87414	protein_coding
ENSMUSG00000093848	Gm20865	protein_coding
ENSMUSG00000031958	Ldhd	protein_coding
ENSMUSG00000081103	Rps12-ps26	pseudogene
ENSMUSG00000096958	Gm26573	lincRNA
ENSMUSG00000060586	H2-Eb1	protein_coding
ENSMUSG00000056836	Gm6851	pseudogene
ENSMUSG00000087596	Gm11715	antisense
ENSMUSG00000029518	Rab35	protein_coding
ENSMUSG00000097661	Gm26763	lincRNA
ENSMUSG00000046372	Gm5590	pseudogene
ENSMUSG00000078607	1810010H24Rik	antisense
ENSMUSG00000097731	2700016F22Rik	lincRNA
ENSMUSG00000080998	Gm5384	pseudogene
ENSMUSG00000086772	Gm11705	antisense
ENSMUSG00000033845	Mrpl15	protein_coding
ENSMUSG00000097088	Gm26615	lincRNA
ENSMUSG00000083356	Gm11708	pseudogene
ENSMUSG00000084186	Rpl36-ps10	pseudogene
ENSMUSG00000097653	Gm16387	pseudogene
ENSMUSG00000094294	Gm20909	protein_coding
ENSMUSG00000097158	Gm26516	lincRNA
ENSMUSG00000021391	Cenpp	protein_coding
ENSMUSG00000081735	Gm14530	pseudogene
ENSMUSG00000096944	Gm26722	lincRNA
ENSMUSG00000093540	4930505M18Rik	processed_transcript
ENSMUSG00000084327	Gm14531	pseudogene
ENSMUSG00000076674	Ighv3-8	IG_LV_gene
ENSMUSG00000097337	Gm26606	lincRNA
ENSMUSG00000095775	Gm20910	protein_coding
ENSMUSG00000082680	Gm14885	pseudogene
ENSMUSG00000027104	Atf2	protein_coding
ENSMUSG00000098016	Gm9211	pseudogene
ENSMUSG00000097873	Gm26867	lincRNA
ENSMUSG00000081987	Gm12639	pseudogene
ENSMUSG00000085239	Gm12150	antisense
ENSMUSG00000094022	Gm21763	protein_coding
ENSMUSG00000066543	Gm10166	pseudogene
ENSMUSG00000029063	Nadk	protein_coding
ENSMUSG00000096987	Gm26525	lincRNA
ENSMUSG00000050144	Slc25a44	protein_coding
ENSMUSG00000094322	Ighv9-4	IG_LV_gene
ENSMUSG00000087127	Gm12756	lincRNA
